,Annee,REGION,Département,Culture,Production en tonne,Rendement kg/ha,Superficie en ha,Date,Quantity,Country,Production
0,2022,SAINT-LOUIS,Union de Dagana A,RIZ,1025.365,5500.0,186.43,2022,1025.365,Senegal,1025.365
1,2022,SAINT-LOUIS,Union de Debi-Tiguette,RIZ,1582.525,3500.0,452.15,2022,1582.525,Senegal,1582.525
2,2022,SAINT-LOUIS,Union de Kassac Nord,RIZ,1151.78,3500.0,329.08,2022,1151.78,Senegal,1151.78
3,2022,SAINT-LOUIS,Union de Kassac Sud,RIZ,2548.2599999999998,5999.999999999999,424.71,2022,2548.2599999999998,Senegal,2548.2599999999998
4,2022,SAINT-LOUIS,Union de Mboundoum,RIZ,11854.4475,3498.471284195056,3388.465,2022,11854.4475,Senegal,11854.4475
5,2022,SAINT-LOUIS,Union de Ndiaye,RIZ,960.12,5478.886099064141,175.24,2022,960.12,Senegal,960.12
6,2022,SAINT-LOUIS,Union de Ngomene,RIZ,630.875,3500.0,180.25,2022,630.875,Senegal,630.875
7,2022,SAINT-LOUIS,Union de Pont-Gendarme,RIZ,589.95,5000.0,117.99,2022,589.95,Senegal,589.95
8,2022,SAINT-LOUIS,Union de Thiagar,RIZ,26646.29,41374.299333881965,644.03,2022,26646.29,Senegal,26646.29
9,2017,TAMBACOUNDA,BAKEL,ARACHIDE,1139.7584700152618,1139.0,1000.6659087052342,2017,ARACHIDE,Senegal,1139.7584700152618
10,2017,TAMBACOUNDA,BAKEL,MAIS,6116.44,1628.878828229028,3755.0,2017,MAIS,Senegal,6116.44
11,2017,TAMBACOUNDA,BAKEL,MIL,696.1915273949037,834.0,834.7620232552802,2017,MIL,Senegal,696.1915273949037
12,2017,TAMBACOUNDA,BAKEL,RIZ,2657.04,3752.8813559322034,708.0,2017,RIZ,Senegal,2657.04
13,2017,TAMBACOUNDA,BAKEL,SORGHO,2424.1025308579583,842.0,2878.9816280973378,2017,SORGHO,Senegal,2424.1025308579583
14,2017,TAMBACOUNDA,GOUDIRY,ARACHIDE,11533.728177179022,1294.0,8913.236612966786,2017,ARACHIDE,Senegal,11533.728177179022
15,2017,TAMBACOUNDA,GOUDIRY,MAIS,11694.285,1515.0,7719.0,2017,MAIS,Senegal,11694.285
16,2017,TAMBACOUNDA,GOUDIRY,MIL,9588.852821759278,938.0,10222.6575924939,2017,MIL,Senegal,9588.852821759278
17,2017,TAMBACOUNDA,GOUDIRY,RIZ,409.3190183430285,1500.0,272.879345562019,2017,RIZ,Senegal,409.3190183430285
18,2017,TAMBACOUNDA,GOUDIRY,SORGHO,4646.25,885.0,5250.0,2017,SORGHO,Senegal,4646.25
19,2017,TAMBACOUNDA,TAMBACOUNDA,ARACHIDE,143203.7636774768,1271.4047993184156,112634.27962065784,2017,ARACHIDE,Senegal,143203.7636774768
20,2017,TAMBACOUNDA,TAMBACOUNDA,MAIS,26547.6147,1735.60331199864,15295.9,2017,MAIS,Senegal,26547.6147
21,2017,TAMBACOUNDA,TAMBACOUNDA,MANIOC,227.5,13000.0,17.5,2017,MANIOC,Senegal,227.5
22,2017,TAMBACOUNDA,TAMBACOUNDA,MIL,7484.022481093772,899.0,8324.83034604424,2017,MIL,Senegal,7484.022481093772
23,2017,TAMBACOUNDA,TAMBACOUNDA,NIEBE,2411.190933538638,800.0,3013.988666923298,2017,NIEBE,Senegal,2411.190933538638
24,2017,TAMBACOUNDA,TAMBACOUNDA,RIZ,12687.577973967249,2018.6550422936969,6285.163986983624,2017,RIZ,Senegal,12687.577973967249
